first_name,last_name,company_name,address,city,province,postal,phone1,email,web,exam_1,exam_2,exam_3,Dept,transcode
Francoise,Rautenstrauch,"Riebesell, H F Jr",2335 Canton Hwy #6,Windsor,ON,N8N 3N2,519-569-8399,francoise.rautenstrauch@rautenstrauch.com,http://www.riebesellhfjr.com,60,94,79,BIO,Code045
Kendra,Loud,Deloitte & Touche,6 Arch St #9757,Alcida,NB,E8J 2C4,506-363-1526,kloud@gmail.com,http://www.deloittetouche.com,57,50,90,POL,Code091
Lourdes,Bauswell,Oklahoma Neon Inc,9547 Belmont Rd #21,Belleville,ON,K8P 1B3,613-903-7043,lourdes_bauswell@aol.com,http://www.oklahomaneoninc.com,90,95,64,PHY,Code061
Hannah,Edmison,M B A Paint Stores,73 Pittsford Victor Rd,Vancouver,BC,V5Z 3K2,604-334-3686,hannah@yahoo.com,http://www.mbapaintstores.com,96,95,82,POL,Code067
Tom,Loeza,Sheraton Shreveport Hotel,447 Commercial St Se,LIle-Perrot,QC,J7V 4T4,514-487-6096,tom.loeza@gmail.com,http://www.sheratonshreveporthotel.com,84,79,51,POL,Code008
Queenie,Kramarczyk,Goeman Wood Products Inc,47 Garfield Ave,Swift Current,SK,S9H 4V2,306-421-5793,queenie.kramarczyk@kramarczyk.org,http://www.goemanwoodproductsinc.com,50,90,62,BIO,Code098
Hui,Portaro,A Storage Inn Of Gloucester,3 Mill Rd,Baker Brook,NB,E7A 1T3,506-827-7755,hui_portaro@cox.net,http://www.astorageinnofgloucester.com,57,82,59,POL,Code091
Josefa,Opitz,Norman Gale Isuzu,136 W Grand Ave #3,Delhi,ON,N4B 1C4,519-788-7645,josefa.opitz@opitz.org,http://www.normangaleisuzu.com,83,51,57,POL,Code072
Lea,Steinhaus,"James, Christopher Esq",80 Maplewood Dr #34,Bradford,ON,L3Z 2S4,905-618-8258,lsteinhaus@cox.net,http://www.jameschristopheresq.com,79,59,83,PHY,Code053
Paola,Vielma,Congress Title,58 Hancock St,Aurora,ON,L4G 2J7,905-456-1117,paola_vielma@aol.com,http://www.congresstitle.com,59,,55,MATH,Code100
Hortencia,Bresser,Batavia Chamber Of Commerce,808 Calle De Industrias,New Waterford,NS,B1H 1Z4,902-256-6791,hbresser@aol.com,http://www.bataviachamberofcommerce.com,87,93,83,POL,Code085
Leanna,Tijerina,Stephenson Land Surveying,2859 Dorsett Rd,North York,ON,M9L 2T9,416-719-2114,leanna@cox.net,http://www.stephensonlandsurveying.com,64,81,,MATH,Code071
Danilo,Pride,Harry L Adams Incorporated,6857 Wall St,Red Deer,AB,T4R 2H5,403-212-4945,danilo_pride@hotmail.com,http://www.harryladamsincorporated.com,52,75,82,BIO,Code028
Huey,Marcille,Southern Idaho Pipe & Stl Corp,169 Journal Sq,Edmonton,AB,T5P 1G9,780-XXX-3619,huey.marcille@gmail.com,http://www.southernidahopipestlcorp.com,100,87,64,PHY,Code029
Apolonia,Warne,Kitchen People,3 E 31st St #77,Fredericton,NB,E3G 0A3,506-978-1488,apolonia@gmail.com,http://www.kitchenpeople.com,92,100,74,MATH,Code074
Chandra,Lagos,Meredith Realty Group Inc,7 N Dean St,Etobicoke,ON,M8Z 3P6,416-716-6446,chandra.lagos@lagos.org,http://www.meredithrealtygroupinc.com,,91,93,PHY,Code055
Crissy,Pacholec,Cgi Systems Inc,85 S State St,Barrie,ON,L4N 6T7,705-477-2307,crissy@aol.com,http://www.cgisystemsinc.com,56,66,60,MATH,Code076
Gianna,Branin,All Brevard Cert Apprsls Inc,100 Main St,Calgary,AB,T2K 4X5,403-337-7162,gianna@aol.com,http://www.allbrevardcertapprslsinc.com,66,59,52,POL,Code045
Valentin,Billa,General Color Co Inc,6185 Bohn St #72,Pangman,SK,S0C 2C0,306-291-5073,vbilla@yahoo.com,http://www.generalcolorcoinc.com,100,,,POL,Code007
Ilona,Dudash,Adams Balcom & Larose Pc,2 Sutton Pl S #5727,Rouyn-Noranda,QC,J9X 3V4,819-536-7034,idudash@dudash.com,http://www.adamsbalcomlarosepc.com,84,78,98,MATH,Code061
Willard,Lablanc,Mershon Metal Specialties Inc,1534 Sidco Dr,Leduc,AB,T9E 5A6,780-384-5410,wlablanc@yahoo.com,http://www.mershonmetalspecialtiesinc.com,90,93,64,PHY,Code046
Lauryn,Randol,"Judy, Henry L Esq",4207 Leon Rd,North Vancouver,BC,V7L 3X6,604-236-4625,lauryn@yahoo.com,http://www.judyhenrylesq.com,55,68,73,MATH,Code093
Laurena,Begin,"Barry, Anthony S Esq",7564 N Academy Ave,London,ON,N6A 1S5,519-790-8?60,laurena.begin@begin.com,http://www.barryanthonysesq.com,88,84,96,POL,Code054
Elise,Michelle,"Thurman, William T Esq",88 E Saint Elmo Rd,Hamilton,ON,L8R 3J3,905-652-4509,elise@gmail.com,http://www.thurmanwilliamtesq.com,62,66,66,PHY,Code072
Corrie,Kardell,"Lynch, Steven J Esq",75 Westchester Ave,Pierrefonds,QC,H9J 1W6,514-203-7817,corrie_kardell@aol.com,http://www.lynchstevenjesq.com,,57,99,PHY,Code022
Kimberely,Rabuse,"Carey, Paul D Esq",89 W 35th St #1,Windsor,ON,N8S 3R1,519-912-5533,kimberely.rabuse@cox.net,http://www.careypauldesq.com,97,66,68,BIO,Code031
Tish,Violett,Electro Arc Manufacturing Co,1 Norris Ave #4095,Laval,QC,H7W 5K7,450-840-7605,tish.violett@violett.com,http://www.electroarcmanufacturingco.com,83,58,69,BIO,Code061
Hollis,Stanfield,Feehan Plumbing & Heating,5174 Interstate 45 N,Yellowhead County,AB,T7E 3A7,780-574-5620,hollis.stanfield@aol.com,http://www.feehanplumbingheating.com,93,90,53,POL,Code082
Andree,Christmann,Easton Cooperative Bank,765 Rock Island Rd,Strathroy,ON,N7G 3K6,519-872-6826,andree.christmann@cox.net,http://www.eastoncooperativebank.com,69,84,86,BIO,Code041
Lyla,Fucillo,Hambro Forest Products Inc,7979 33  191,North River,NS,B6L 6N1,902-844-1174,lyla_fucillo@cox.net,http://www.hambroforestproductsinc.com,84,61,58,PHY,Code044
Felton,Yafuso,"Penkava, Robert Md",202 Madison Ave,Ottawa,ON,K1Y 1M2,613-749-1169,felton.yafuso@gmail.com,http://www.penkavarobertmd.com,56,76,94,POL,Code068
Dell,Polino,Saint John Neumann Nurse Home,56 Corporate Dr,Becancour,QC,G9H 1H7,819-255-1725,dell_polino@polino.com,http://www.saintjohnneumannnursehome.com,50,71,73,BIO,Code084
Nohemi,Leko,"Bohne, Karl W Jr",37 Us Highway 12e E #6,Sault Ste. Marie,ON,P6C 2C8,705-838-9265,nohemi@aol.com,http://www.bohnekarlwjr.com,87,65,50,MATH,Code049
Tambra,Lembke,"Moore, Albert F Esq",6734 W Jackson Blvd,Salmon Arm,BC,V1E 4G9,250-353-7479,tlembke@lembke.org,http://www.moorealbertfesq.com,80,81,51,BIO,Code004
Vicki,Maikoksoong,George Bigham & Associates,7 Tomahawk Dr,Richmond,BC,V7A 3N1,604-231-6180,vicki@gmail.com,http://www.georgebighamassociates.com,97,96,78,MATH,Code077
Renato,Airhart,Super 8 Motel,1 Vernon Blvd,Calgary,AB,T2A 2H9,403-444-2250,renato_airhart@hotmail.com,http://www.supermotel.com,51,86,81,BIO,Code078
Lenita,Darbro,"Ball, David S",2726 Franklin Hill Rd,Vernon,BC,V1T 7V8,250-749-4517,lenita@yahoo.com,http://www.balldavids.com,97,100,52,PHY,Code009
Barney,Hagen,Fox Vision Center,6335 Fort Myer Dr,Saint-Hyacinthe,QC,J2S 2N3,450-526-5424,barney@yahoo.com,http://www.foxvisioncenter.com,74,97,91,MATH,Code015
Matthew,Armacost,Livingston & Schneider Pc,220 Old Us Highway 441,Peterborough,ON,K9H 6C3,705-417-7221,matthew_armacost@gmail.com,http://www.livingstonschneiderpc.com,84,58,91,BIO,Code078
Belen,Nelton,A Peter Howell Pc,77 Central Pky N,Quesnel,BC,V2J 1N4,250-768-5812,bnelton@gmail.com,http://www.apeterhowellpc.com,77,67,65,PHY,Code081
Iesha,Wardle,Honker Cut Marine,781 Alabama Ave,Etobicoke,ON,M8Z 2C1,416-989-2001,iesha@gmail.com,http://www.honkercutmarine.com,57,85,67,MATH,Code074
Francesco,Sarchet,Gabriel & Associates,22 Dearborn St,Regina,SK,S4T 4B1,306-524-4509,francesco@hotmail.com,http://www.gabrielassociates.com,63,88,50,BIO,Code034
